Attention,Meditation,brain_wave.alpha,brain_wave.delta,brain_wave.gamma,brain_wave.high_beta,brain_wave.low_beta,brain_wave.theta,eeg_data.pga,eeg_data.sample_rate,time
67.450,61.986,8.205,50.858,1.263,2.088,4.756,16.962,128.000,160.000,2023:07:27:10:45:41:664928
67.184,60.319,8.965,47.909,1.298,2.512,5.092,18.360,128.000,160.000,2023:07:27:10:45:42:066198
67.184,60.319,8.331,43.575,1.140,1.755,4.387,20.069,128.000,160.000,2023:07:27:10:45:42:567972
67.545,56.350,8.967,35.807,1.939,2.848,4.621,13.105,128.000,160.000,2023:07:27:10:45:43:068845
67.545,56.350,1.665,10.066,0.695,0.963,1.272,5.136,128.000,160.000,2023:07:27:10:45:43:673239
67.310,53.303,1.651,6.192,0.546,0.692,1.102,3.612,128.000,160.000,2023:07:27:10:45:44:077096
67.310,53.303,1.583,6.730,0.557,0.553,1.098,3.241,128.000,160.000,2023:07:27:10:45:44:579591
63.900,50.959,1.497,6.194,0.614,0.536,0.962,3.324,128.000,160.000,2023:07:27:10:45:45:082484
63.900,50.959,5.922,9.018,0.613,1.245,2.516,5.371,128.000,160.000,2023:07:27:10:45:45:586264
61.833,48.980,5.551,10.256,0.597,1.189,2.430,5.026,128.000,160.000,2023:07:27:10:45:46:089871
61.833,48.980,5.607,12.136,0.603,1.285,2.413,4.688,128.000,160.000,2023:07:27:10:45:46:692340
60.125,46.635,5.970,11.860,0.615,1.367,2.457,4.179,128.000,160.000,2023:07:27:10:45:47:093080
60.125,46.635,6.295,11.906,0.598,1.423,2.399,5.196,128.000,160.000,2023:07:27:10:45:47:494491
58.091,45.107,7.335,15.067,0.604,1.396,2.654,8.284,128.000,160.000,2023:07:27:10:45:47:996432
58.091,45.107,6.367,15.791,0.711,1.373,2.712,8.525,128.000,160.000,2023:07:27:10:45:48:599196
57.119,42.649,7.157,35.012,0.942,1.774,3.666,18.355,128.000,160.000,2023:07:27:10:45:49:001543
57.119,42.649,8.550,38.967,0.637,1.366,2.987,15.053,128.000,160.000,2023:07:27:10:45:49:603808
56.433,39.240,7.649,42.960,1.070,2.475,3.624,15.254,128.000,160.000,2023:07:27:10:45:50:005222
56.433,39.240,6.497,50.177,0.606,0.839,2.995,14.894,128.000,160.000,2023:07:27:10:45:50:609235
