时间,attention,瞬时总分数,瞬时得分比,瞬时TScore状态,瞬时生成总方块数,瞬时生成得分方块数,瞬时生成惩罚方块数,瞬时命中得分方块数,瞬时命中惩罚方块数,每个lastGradScore记录,每个intev间隔内，生成的总方块数,每个intev间隔内，生成的得分块数,每个intev间隔内，生成的惩罚方块数
2023:07:27:10:42:06:992334,60.5657496625841,0,0,False,0,0,0,0,0,0,0,0,0
2023:07:27:10:42:09:628931,60.5657496625841,0,0,False,2,2,0,0,0,0,1,1,0
2023:07:27:10:42:12:258098,60.5657496625841,0,0,False,3,3,0,0,0,0,1,1,0
2023:07:27:10:42:14:890654,60.5657496625841,0,0,False,4,4,0,0,0,0,1,1,0
2023:07:27:10:42:17:538403,60.5657496625841,0,0,False,6,6,0,0,0,0,2,2,0
2023:07:27:10:42:20:064390,60.5657496625841,0,0,False,7,7,0,0,0,0,1,1,0
